caller.owner,caller.action,caller.called_function,caller.block_id,caller.instruction_info.is_dom,caller.instruction_info.near_break,caller.instruction_info.same_inst_before,caller.instruction_info.same_inst_after,callee.name,callee.info.bb_count,callee.info.funccalls,callee.info.ir_count,callee.info.is_start,callee.info.syscalls,is_inlined,caller.loop_info.loop_nested,caller.loop_info.loop_size_bb,caller.loop_info.loop_size_ir
_start_kernel_session,fcall,_send2destination_byte,7,True,-1,2,0,_send2destination_byte,1,1,5,False,0,1,,,
_start_kernel_session,fcall,_send2destination_byte,21,True,-1,2,0,_send2destination_byte,1,1,5,False,0,1,,,
_start_kernel_session,fcall,_send2destination_byte,37,True,-1,2,1,_send2destination_byte,1,1,5,False,0,1,,,
close_connection,fcall,_flush_tables,40,False,-1,0,0,_flush_tables,1,1,4,False,0,1,,,
cleanup_kernel,fcall,_flush_tables,44,False,-1,0,0,_flush_tables,1,1,4,False,0,1,,,
DB_get_row,fcall,_get_global_offset,53,True,-1,0,1,_get_global_offset,1,0,13,False,0,1,,,
DB_insert_row,fcall,_get_global_offset,64,True,-1,0,1,_get_global_offset,1,0,13,False,0,1,,,
DB_delete_row,fcall,_get_global_offset,70,True,-1,0,1,_get_global_offset,1,0,13,False,0,1,,,
DRM_save_directory,fcall,DRM_get_checksum,76,False,-1,0,0,DRM_get_checksum,5,2,24,False,0,1,,,
_get_byte,fcall,decode_hamming_15_11,90,False,-1,0,0,decode_hamming_15_11,1,0,3,False,0,1,,,
_set_byte,fcall,encode_hamming_15_11,92,False,-1,0,0,encode_hamming_15_11,1,0,3,False,0,1,,,
unpack_memory,fcall,_get_byte,95,False,-1,0,0,_get_byte,1,1,4,False,0,1,0,2,10
pack_memory,fcall,_set_byte,99,False,-1,0,0,_set_byte,1,1,5,False,0,1,0,2,9
realloc_s,fcall,malloc_s,107,True,-1,0,0,malloc_s,3,1,10,False,0,1,,,
realloc_s,fcall,malloc_s,115,True,-1,0,0,malloc_s,3,1,10,False,0,1,,,
TBM_save_table,fcall,TBM_get_checksum,126,False,-1,0,0,TBM_get_checksum,9,3,41,False,0,1,,,
TBM_flush_table,fcall,TBM_free_table,176,False,-1,1,0,TBM_free_table,29,4,89,False,0,1,,,
toupper_s,fcall,islower_s,183,False,-1,0,0,islower_s,1,0,6,False,0,1,,,
strcpy_s,fcall,strlen_s,191,False,-1,0,0,strlen_s,4,0,16,False,0,1,,,
strrep,fcall,strstr_s,220,False,-1,0,0,strstr_s,11,0,47,False,0,1,1,2,20
strrep,fcall,strlen_s,228,True,-1,0,0,strlen_s,4,0,16,False,0,1,,,
strrep,fcall,strlen_s,277,True,-1,0,0,strlen_s,4,0,16,False,0,1,,,
strrep,fcall,strlen_s,299,False,-1,0,0,strlen_s,4,0,16,False,0,1,,,
strtok_s,fcall,strpbrk_s,317,True,-1,0,0,strpbrk_s,8,0,34,False,0,1,,,
strcat_s,fcall,strlen_s,325,False,-1,0,0,strlen_s,4,0,16,False,0,1,,,
THR_require_lock,fcall,THR_test_lock,336,True,-1,0,0,THR_test_lock,7,0,29,False,0,1,,,
THR_release_lock,fcall,THR_test_lock,353,False,-1,0,0,THR_test_lock,7,0,29,False,0,1,,,
stack_init,fcall,memset_s,7,False,-1,0,0,memset_s,7,0,42,False,0,0,,,
stack_pop,fcall,stack_is_empty,10,False,-1,0,0,stack_is_empty,1,0,5,False,0,0,,,
stack_peek,fcall,stack_is_empty,14,False,-1,0,0,stack_is_empty,1,0,5,False,0,0,,,
queue_init,fcall,memset_s,23,False,-1,0,0,memset_s,7,0,42,False,0,0,,,
queue_dequeue,fcall,queue_is_empty,26,False,-1,0,0,queue_is_empty,1,0,7,False,0,0,,,
is_higher_or_equal_precedence,fcall,get_op_precedence,37,False,-1,0,1,get_op_precedence,9,0,32,False,0,0,,,
is_higher_or_equal_precedence,fcall,get_op_precedence,47,False,-1,1,0,get_op_precedence,9,0,32,False,0,0,,,
is_higher_precedence,fcall,get_op_precedence,57,False,-1,0,1,get_op_precedence,9,0,32,False,0,0,,,
is_higher_precedence,fcall,get_op_precedence,67,False,-1,1,0,get_op_precedence,9,0,32,False,0,0,,,
shunting_yard,fcall,stack_init,69,False,20,0,0,stack_init,1,1,6,False,0,0,,,
shunting_yard,fcall,strlen_s,118,True,15,3,0,strlen_s,4,0,16,False,0,0,,,
shunting_yard,fcall,stack_is_empty,190,False,3,0,0,stack_is_empty,1,0,5,False,0,0,,,
shunting_yard,fcall,is_left_assoc_operator,225,True,15,3,2,is_left_assoc_operator,1,0,12,False,0,0,0,2,23
shunting_yard,fcall,is_higher_or_equal_precedence,270,True,15,5,0,is_higher_or_equal_precedence,1,2,6,False,0,0,0,2,23
shunting_yard,fcall,stack_peek,317,True,15,4,1,stack_peek,3,2,9,False,0,0,0,2,23
shunting_yard,fcall,is_right_assoc_operator,362,True,15,3,2,is_right_assoc_operator,1,0,4,False,0,0,0,2,23
shunting_yard,fcall,is_higher_precedence,407,True,15,5,0,is_higher_precedence,1,2,6,False,0,0,0,2,23
shunting_yard,fcall,stack_peek,454,True,15,4,1,stack_peek,3,2,9,False,0,0,0,2,23
shunting_yard,fcall,stack_pop,502,False,23,3,0,stack_pop,3,2,10,False,0,0,0,2,23
