caller.owner,caller.action,caller.called_function,caller.block_id,caller.instruction_info.is_dom,caller.instruction_info.near_break,caller.instruction_info.same_inst_before,caller.instruction_info.same_inst_after,callee.name,callee.info.bb_count,callee.info.funccalls,callee.info.ir_count,callee.info.is_start,callee.info.syscalls,is_inlined,caller.loop_info.loop_nested,caller.loop_info.loop_size_bb,caller.loop_info.loop_size_ir
_give_next_token,fcall,_reset_tkn_ctx,64,True,53,0,0,_reset_tkn_ctx,1,0,5,False,0,1,,,
_give_next_token,fcall,TKN_unload_token,139,True,53,0,0,TKN_unload_token,3,2,11,False,0,1,,,
TKN_tokenize,fcall,TKN_unload_token,158,True,1,0,0,TKN_unload_token,3,2,11,False,0,1,,,
TKN_tokenize,fcall,TKN_unload_token,180,True,13,0,3,TKN_unload_token,3,2,11,False,0,1,,,
TKN_tokenize,fcall,TKN_unload_token,199,True,12,1,2,TKN_unload_token,3,2,11,False,0,1,,,
TKN_tokenize,fcall,TKN_unload_token,218,True,11,2,1,TKN_unload_token,3,2,11,False,0,1,,,
TKN_tokenize,fcall,TKN_unload_token,237,True,4,0,1,TKN_unload_token,3,2,11,False,0,1,,,
TKN_tokenize,fcall,TKN_unload_token,256,True,3,1,0,TKN_unload_token,3,2,11,False,0,1,,,
TKN_tokenize,fcall,_reset_tkn_ctx,263,False,35,0,0,_reset_tkn_ctx,1,0,5,False,0,1,,,
_apply_modifiers,fcall,_remove_token,284,False,1,0,0,_remove_token,1,2,4,False,0,1,0,11,58
_apply_modifiers,fcall,_remove_token,300,False,1,0,0,_remove_token,1,2,4,False,0,1,0,11,58
_apply_modifiers,fcall,_remove_token,316,False,1,0,0,_remove_token,1,2,4,False,0,1,0,11,58
MCTB_remove_define,fcall,_unload_def,365,True,-1,0,1,_unload_def,3,3,12,False,0,1,,,
MCTB_put_define,fcall,_unload_def,375,True,-1,1,0,_unload_def,3,3,12,False,0,1,,,
HIR_get_stktype,fcall,_get_glbtype,399,False,-1,0,0,_get_glbtype,15,0,45,False,0,1,,,
HIR_similar_type,fcall,HIR_get_tmp_type,479,False,-1,0,1,HIR_get_tmp_type,63,0,169,False,0,1,,,
HIR_similar_type,fcall,HIR_get_tmp_type,543,False,-1,1,0,HIR_get_tmp_type,63,0,169,False,0,1,,,
_mark_copies,fcall,_mark_allias,557,True,-1,1,2,_mark_allias,1,1,4,False,0,1,,,
HIR_CFG_make_allias,fcall,_mark_allias,576,True,-1,1,2,_mark_allias,1,1,4,False,0,1,,,
HIR_LTREE_unload_ctx,fcall,_loop_node_free,595,False,-1,0,0,_loop_node_free,9,6,42,False,0,1,1,2,9
HIR_hash_subject,fcall,_mix64,679,False,2,0,0,_mix64,1,0,11,False,0,1,,,
HIR_hash_subject,fcall,_mix64,843,False,12,0,0,_mix64,1,0,11,False,0,1,0,2,12
HIR_hash_subject,fcall,_mix64,1006,False,2,0,0,_mix64,1,0,11,False,0,1,,,
HIR_hash_subject,fcall,_mix64,1152,False,2,0,0,_mix64,1,0,11,False,0,1,,,
HIR_hash_subject,fcall,_mix64,1294,False,2,0,0,_mix64,1,0,11,False,0,1,,,
HIR_hash_subject,fcall,_mix64,1436,False,2,0,0,_mix64,1,0,11,False,0,1,,,
HIR_unload_extended_ctx,fcall,HIR_unload_blocks,1444,False,-1,1,0,HIR_unload_blocks,6,4,25,False,0,1,,,
HIR_get_next,fcall,_is_term,1447,False,-1,0,0,_is_term,1,0,4,False,0,1,,,
