caller.owner,caller.action,caller.called_function,caller.block_id,caller.instruction_info.is_dom,caller.instruction_info.near_break,caller.instruction_info.same_inst_before,caller.instruction_info.same_inst_after,callee.name,callee.info.bb_count,callee.info.funccalls,callee.info.ir_count,callee.info.is_start,callee.info.syscalls,is_inlined,caller.loop_info.loop_nested,caller.loop_info.loop_size_bb,caller.loop_info.loop_size_ir
_get_cluster_by_path,fcall,set_cluster_end,12,False,-1,0,0,set_cluster_end,1,1,4,False,0,1,,,
_deepcopy_handler,fcall,set_cluster_end,110,False,-1,0,0,set_cluster_end,1,1,4,False,0,1,,,
NIFAT32_truncate_content,fcall,set_cluster_end,256,True,-1,2,0,set_cluster_end,1,1,4,False,0,1,,,
alloc_cluster,fcall,is_cluster_reserved,352,False,-1,1,0,is_cluster_reserved,1,0,4,False,0,1,,,
alloc_cluster,fcall,is_cluster_bad,367,False,-1,0,1,is_cluster_bad,1,0,4,False,0,1,,,
alloc_cluster,fcall,is_cluster_free,379,False,-1,0,0,is_cluster_free,1,0,4,False,0,1,,,
dealloc_cluster,fcall,set_cluster_free,389,False,-1,0,0,set_cluster_free,1,1,4,False,0,1,,,
dealloc_cluster,fcall,is_cluster_free,393,False,-1,0,0,is_cluster_free,1,0,4,False,0,1,,,
alloc_ci,fcall,_init_content,422,True,2,1,0,_init_content,1,0,6,False,0,1,,,
ecache_delete,fcall,_minimum,436,True,-1,2,0,_minimum,3,0,12,False,0,1,,,
_read_encoded_cluster,fcall,is_cluster_bad,462,False,-1,0,0,is_cluster_bad,1,0,4,False,0,1,,,
entry_add,fcall,is_cluster_end,526,False,5,0,0,is_cluster_end,1,0,4,False,0,1,,,
entry_add,fcall,is_cluster_bad,584,False,2,0,0,is_cluster_bad,1,0,4,False,0,1,,,
entry_add,fcall,is_cluster_bad,648,False,4,0,0,is_cluster_bad,1,0,4,False,0,1,,,
errors_register_error,fcall,_next_ring_index,661,True,-1,0,0,_next_ring_index,3,0,12,False,0,1,,,
errors_register_error,fcall,_next_ring_index,671,True,-1,0,0,_next_ring_index,3,0,12,False,0,1,,,
errors_last_error,fcall,_next_ring_index,679,True,-1,0,0,_next_ring_index,3,0,12,False,0,1,,,
murmur3_x86_32,fcall,_fmix32,690,True,-1,0,0,_fmix32,1,0,11,False,0,1,,,
murmur3_x86_32,fcall,_rotl32,694,False,-1,0,0,_rotl32,1,0,7,False,0,1,0,2,19
murmur3_x86_32,fcall,_rotl32,705,False,-1,0,0,_rotl32,1,0,7,False,0,1,0,2,19
murmur3_x86_32,fcall,_rotl32,722,False,-1,0,0,_rotl32,1,0,7,False,0,1,,,
unpack_memory,fcall,_get_byte,726,False,-1,0,0,_get_byte,1,1,4,False,0,1,0,2,10
pack_memory,fcall,_set_byte,730,False,-1,0,0,_set_byte,1,1,5,False,0,1,0,2,9
str_toupper,fcall,_str_islower,734,False,-1,0,0,_str_islower,1,0,6,False,0,1,,,
main,fcall,process_input,52,True,-1,0,0,process_input,50,14,168,False,0,0,,,
main,fcall,_calculate_fat_size,87,True,-1,1,0,_calculate_fat_size,4,0,28,False,0,0,,,
main,fcall,_initialize_fat,237,True,-1,2,0,_initialize_fat,22,1,134,False,0,0,,,
_set_byte,fcall,_encode_hamming_15_11,364,False,-1,0,0,_encode_hamming_15_11,1,0,185,False,0,0,,,
_pack_memory,fcall,_set_byte,367,False,-1,0,0,_set_byte,1,1,5,False,0,0,0,2,9
_murmur3_x86_32,fcall,_rotl32,372,False,-1,0,0,_rotl32,1,0,7,False,0,0,0,2,19
_murmur3_x86_32,fcall,_rotl32,383,False,-1,0,0,_rotl32,1,0,7,False,0,0,0,2,19
_murmur3_x86_32,fcall,_rotl32,400,False,-1,0,0,_rotl32,1,0,7,False,0,0,,,
_murmur3_x86_32,fcall,_fmix32,412,True,-1,0,0,_fmix32,1,0,11,False,0,0,,,
_write_bs,fcall,_murmur3_x86_32,423,False,-1,0,0,_murmur3_x86_32,10,4,64,False,0,0,,,
_write_bs,fcall,_murmur3_x86_32,443,False,-1,0,0,_murmur3_x86_32,10,4,64,False,0,0,,,
_write_bs,fcall,_pack_memory,460,False,-1,0,0,_pack_memory,3,1,13,False,0,0,,,
_write_fats,fcall,_pack_memory,471,True,-1,0,0,_pack_memory,3,1,13,False,0,0,,,
_copy_files_to_fs,fcall,_to_83_name,551,True,-1,3,0,_to_83_name,16,10,72,False,0,0,,,
_copy_files_to_fs,fcall,_murmur3_x86_32,592,True,-1,2,0,_murmur3_x86_32,10,4,64,False,0,0,,,
_copy_files_to_fs,fcall,_murmur3_x86_32,633,True,-1,2,0,_murmur3_x86_32,10,4,64,False,0,0,,,
_copy_files_to_fs,fcall,_to_83_name,737,True,-1,4,2,_to_83_name,16,10,72,False,0,0,,,
_copy_files_to_fs,fcall,_murmur3_x86_32,778,True,-1,6,0,_murmur3_x86_32,10,4,64,False,0,0,,,
_copy_files_to_fs,fcall,_murmur3_x86_32,819,True,-1,2,0,_murmur3_x86_32,10,4,64,False,0,0,,,
_copy_files_to_fs,fcall,_murmur3_x86_32,861,False,-1,2,0,_murmur3_x86_32,10,4,64,False,0,0,,,
_copy_files_to_fs,fcall,_murmur3_x86_32,902,False,-1,2,0,_murmur3_x86_32,10,4,64,False,0,0,,,
_copy_files_to_fs,fcall,_pack_memory,938,True,-1,2,0,_pack_memory,3,1,13,False,0,0,,,
_create_directory,fcall,_to_83_name,960,True,-1,0,0,_to_83_name,16,10,72,False,0,0,,,
_create_directory,fcall,_murmur3_x86_32,979,True,-1,0,0,_murmur3_x86_32,10,4,64,False,0,0,,,
_create_directory,fcall,_murmur3_x86_32,998,True,-1,0,0,_murmur3_x86_32,10,4,64,False,0,0,,,
_create_directory,fcall,_to_83_name,1023,True,-1,1,0,_to_83_name,16,10,72,False,0,0,,,
_create_directory,fcall,_murmur3_x86_32,1042,True,-1,0,0,_murmur3_x86_32,10,4,64,False,0,0,,,
_create_directory,fcall,_murmur3_x86_32,1061,True,-1,0,0,_murmur3_x86_32,10,4,64,False,0,0,,,
_create_directory,fcall,_murmur3_x86_32,1080,True,-1,0,0,_murmur3_x86_32,10,4,64,False,0,0,,,
_create_directory,fcall,_murmur3_x86_32,1099,True,-1,0,0,_murmur3_x86_32,10,4,64,False,0,0,,,
_create_directory,fcall,_pack_memory,1113,True,-1,0,0,_pack_memory,3,1,13,False,0,0,,,
set_cluster_free,fcall,write_fat,1127,False,-1,0,0,write_fat,10,3,35,False,0,0,,,
set_cluster_end,fcall,write_fat,1138,False,-1,0,0,write_fat,10,3,35,False,0,0,,,
set_cluster_bad,fcall,write_fat,1149,False,-1,0,0,write_fat,10,3,35,False,0,0,,,
NIFAT32_get_fs_data,fcall,str_memcpy,1157,False,-1,0,0,str_memcpy,7,0,37,False,0,0,,,
NIFAT32_init,fcall,LOG_setup,1159,False,-1,0,0,LOG_setup,1,0,5,False,0,0,,,
NIFAT32_init,fcall,mm_init,1200,True,-1,0,0,mm_init,3,0,14,False,0,0,,,
NIFAT32_init,fcall,errors_register_error,1366,True,-1,0,0,errors_register_error,5,3,22,False,0,0,,,
NIFAT32_init,fcall,unpack_memory,1405,True,-1,0,0,unpack_memory,3,1,14,False,0,0,,,
NIFAT32_init,fcall,murmur3_x86_32,1451,True,-1,0,0,murmur3_x86_32,10,4,64,False,0,0,,,
NIFAT32_init,fcall,murmur3_x86_32,1497,True,-1,0,0,murmur3_x86_32,10,4,64,False,0,0,,,
NIFAT32_init,fcall,errors_register_error,1540,True,-1,0,1,errors_register_error,5,3,22,False,0,0,,,
NIFAT32_init,fcall,NIFAT32_init,1576,True,-1,1,0,NIFAT32_init,36,8,161,False,0,0,,,
NIFAT32_repair_bootsectors,fcall,str_memcpy,1827,False,-1,0,0,str_memcpy,7,0,37,False,0,0,,,
NIFAT32_repair_bootsectors,fcall,str_memcpy,1840,False,-1,0,1,str_memcpy,7,0,37,False,0,0,,,
NIFAT32_repair_bootsectors,fcall,str_memcpy,1853,False,-1,1,0,str_memcpy,7,0,37,False,0,0,,,
NIFAT32_repair_bootsectors,fcall,murmur3_x86_32,1869,False,-1,0,0,murmur3_x86_32,10,4,64,False,0,0,,,
NIFAT32_repair_bootsectors,fcall,str_memcpy,1882,False,-1,0,0,str_memcpy,7,0,37,False,0,0,,,
NIFAT32_repair_bootsectors,fcall,murmur3_x86_32,1898,False,-1,0,0,murmur3_x86_32,10,4,64,False,0,0,,,
NIFAT32_repair_bootsectors,fcall,pack_memory,1907,False,-1,0,0,pack_memory,3,1,13,False,0,0,,,
_get_cluster_by_path,fcall,get_content_data_ca,1928,True,-1,0,0,get_content_data_ca,3,0,11,False,0,0,,,
_get_cluster_by_path,fcall,str_memcpy,1981,True,-1,0,1,str_memcpy,7,0,37,False,0,0,,,
_get_cluster_by_path,fcall,name_to_fatname,2021,True,-1,1,0,name_to_fatname,21,3,89,False,0,0,,,
_get_cluster_by_path,fcall,get_content_ecache,2043,True,-1,0,0,get_content_ecache,3,0,11,False,0,0,,,
_get_cluster_by_path,fcall,alloc_cluster,2106,True,-1,0,0,alloc_cluster,14,9,64,False,0,0,,,
_get_cluster_by_path,fcall,create_entry,2130,True,-1,1,0,create_entry,3,2,19,False,0,0,,,
_get_cluster_by_path,fcall,entry_add,2179,False,-1,0,0,entry_add,29,17,135,False,0,0,,,
_get_cluster_by_path,fcall,dealloc_cluster,2204,True,-1,1,0,dealloc_cluster,5,4,18,False,0,0,,,
_get_cluster_by_path,fcall,errors_register_error,2228,True,-1,1,0,errors_register_error,5,3,22,False,0,0,,,
_get_cluster_by_path,fcall,errors_register_error,2253,True,-1,2,0,errors_register_error,5,3,22,False,0,0,,,
_get_cluster_by_path,fcall,str_memcpy,2282,False,-1,0,0,str_memcpy,7,0,37,False,0,0,,,
NIFAT32_content_exists,fcall,_get_cluster_by_path,2302,False,-1,0,0,_get_cluster_by_path,19,12,97,False,0,0,,,
NIFAT32_open_content,fcall,alloc_ci,2313,False,-1,0,0,alloc_ci,9,3,33,False,0,0,,,
NIFAT32_open_content,fcall,errors_register_error,2327,True,-1,0,0,errors_register_error,5,3,22,False,0,0,,,
NIFAT32_open_content,fcall,setup_content,2343,True,-1,0,0,setup_content,6,5,32,False,0,0,,,
NIFAT32_open_content,fcall,_get_cluster_by_path,2370,True,-1,0,0,_get_cluster_by_path,19,12,97,False,0,0,,,
NIFAT32_open_content,fcall,errors_register_error,2386,True,-1,0,1,errors_register_error,5,3,22,False,0,0,,,
NIFAT32_open_content,fcall,destroy_content,2400,True,-1,1,0,destroy_content,6,1,23,False,0,0,,,
NIFAT32_open_content,fcall,setup_content,2414,True,-1,0,0,setup_content,6,5,32,False,0,0,,,
NIFAT32_index_content,fcall,get_content_type,2419,False,-1,0,0,get_content_type,3,0,11,False,0,0,,,
NIFAT32_index_content,fcall,errors_register_error,2428,True,-1,0,0,errors_register_error,5,3,22,False,0,0,,,
NIFAT32_index_content,fcall,index_content,2435,True,-1,0,0,index_content,4,2,17,False,0,0,,,
NIFAT32_close_content,fcall,destroy_content,2442,False,-1,0,0,destroy_content,6,1,23,False,0,0,,,
NIFAT32_read_content2buffer,fcall,errors_register_error,2464,True,-1,0,0,errors_register_error,5,3,22,False,0,0,,,
NIFAT32_read_content2buffer,fcall,get_content_data_ca,2478,True,-1,0,0,get_content_data_ca,3,0,11,False,0,0,,,
NIFAT32_read_content2buffer,fcall,errors_register_error,2512,True,-1,1,0,errors_register_error,5,3,22,False,0,0,,,
NIFAT32_read_content2buffer,fcall,read_fat,2541,True,-1,1,0,read_fat,18,4,67,False,0,0,,,
